Date,Symbol,Price,Available Supply,Unlocked Supply,Reserved (TBD),Founder / Team,Private Investors,Public Investors,Reserved,Community & Other
Sep 30 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 29 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 29 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 29 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 28 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 28 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 28 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 28 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 27 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 27 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 27 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 26 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 26 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 26 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 26 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 25 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 25 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 25 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 24 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 24 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 24 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 24 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 23 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 23 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 23 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 22 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 22 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 22 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 22 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 21 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 21 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 21 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 20 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 20 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 20 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 20 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 19 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 19 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 19 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 18 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 18 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 18 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 18 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 17 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 17 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 17 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 16 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 16 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 16 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 16 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 15 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 15 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 15 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 14 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 14 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 14 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 14 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 13 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 13 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 13 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 12 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 12 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 12 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 12 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 11 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 11 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 11 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 10 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 10 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 10 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 10 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 09 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 09 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 09 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 08 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 08 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 08 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 08 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 07 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 07 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 07 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 06 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 06 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 06 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 06 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 05 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 05 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 05 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 04 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 04 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 04 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 04 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 03 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 03 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 03 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 02 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 02 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 02 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 02 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 01 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 01 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Sep 01 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 31 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 31 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 31 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 31 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 30 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 30 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 30 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 30 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 29 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 29 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 29 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 28 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 28 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 28 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 28 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 27 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 27 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 27 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 26 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 26 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 26 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 26 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 25 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 25 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 25 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 24 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 24 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 24 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 24 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 23 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 23 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 23 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 22 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 22 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 22 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 22 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 21 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 21 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 21 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 20 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 20 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 20 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 20 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 19 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 19 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 19 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 18 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 18 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 18 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 18 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 17 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 17 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 17 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 16 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 16 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 16 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 16 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 15 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 15 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 15 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 14 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 14 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 14 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 14 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 13 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 13 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 13 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 12 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 12 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 12 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 12 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 11 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 11 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 11 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 10 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 10 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 10 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 10 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 09 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 09 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 09 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 08 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 08 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 08 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 08 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 07 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 07 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 07 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 06 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 06 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 06 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Aug 06 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
